"","dataset","symptom_name_formatted","prop_with_symptom","category","name"
"32","CTAS","Rhinitis",0.261350453841045,"Upper respiratory tract","NHS Test & Trace
SGSS"
"33","CTAS","Seizures",0.00643790126189949,"Altered state","NHS Test & Trace
SGSS"
"34","CTAS","Sneezing",0.225114013725924,"Upper respiratory tract","NHS Test & Trace
SGSS"
"35","CTAS","Sore throat",0.296028337392074,"Upper respiratory tract","NHS Test & Trace
SGSS"
"36","CTAS","Vomiting",0.0693646225370821,"Gastrointestinal","NHS Test & Trace
SGSS"
"37","ONS","Fever",0.3416,"Systemic","ONS Community
Infection Survey"
"38","ONS","Muscle ache",0.4218,"Systemic","ONS Community
Infection Survey"
"39","ONS","Fatigue",0.5724,"Systemic","ONS Community
Infection Survey"
"40","ONS","Sore throat",0.3503,"Upper respiratory tract","ONS Community
Infection Survey"
"41","ONS","Cough",0.5863,"Lower respiratory tract","ONS Community
Infection Survey"
"42","ONS","Shortness of breath",0.2391,"Lower respiratory tract","ONS Community
Infection Survey"
"43","ONS","Headache",0.5421,"Systemic","ONS Community
Infection Survey"
"44","ONS","Nausea/vomiting",0.1712,"Gastrointestinal","ONS Community
Infection Survey"
"45","ONS","Abdominal pain",0.1156,"Gastrointestinal","ONS Community
Infection Survey"
"46","ONS","Diarrhoea",0.1291,"Gastrointestinal","ONS Community
Infection Survey"
"47","ONS","Loss of taste",0.3488,"Upper respiratory tract","ONS Community
Infection Survey"
"48","ONS","Loss of smell",0.3334,"Upper respiratory tract","ONS Community
Infection Survey"
"49","Zoe","Fatigue",0.181166123,"Systemic","Covid Symptom Study"
"50","Zoe","Abdominal pain",0.195219317,"Gastrointestinal","Covid Symptom Study"
"51","Zoe","Chest pain",0.263408143,"Lower respiratory tract","Covid Symptom Study"
"52","Zoe","Sore throat",0.419794557,"Upper respiratory tract","Covid Symptom Study"
"53","Zoe","Shortness of breath",0.049786606,"Lower respiratory tract","Covid Symptom Study"
"54","Zoe","Loss of appetite",0.308326437,"Gastrointestinal","Covid Symptom Study"
"55","Zoe","Altered/loss of smell",0.519659867,"Upper respiratory tract","Covid Symptom Study"
"56","Zoe","Muscle ache",0.369910585,"Systemic","Covid Symptom Study"
"57","Zoe","Headache",0.641286533,"Systemic","Covid Symptom Study"
"58","Zoe","Hoarse voice",0.258961751,"Upper respiratory tract","Covid Symptom Study"
"59","Zoe","Delirium",0.143339338,"Altered state","Covid Symptom Study"
"60","Zoe","Diarrhoea",0.223114746,"Gastrointestinal","Covid Symptom Study"
"61","Zoe","Fever",0.32755627,"Systemic","Covid Symptom Study"
"62","Zoe","Cough",0.393002613,"Lower respiratory tract","Covid Symptom Study"
